No,Iws
0.0,1.79
19.0,1.79
20.0,0.89
39.0,35.75
40.0,37.54
59.0,102.8
60.0,105.93
79.0,73.75
80.0,80.9
99.0,213.65
100.0,218.57
119.0,23.7
120.0,26.83
139.0,0.89
140.0,1.79
159.0,24.59
160.0,26.38
179.0,0.89
180.0,3.13
199.0,21.9
200.0,25.92
219.0,8.04
220.0,9.83
239.0,52.31
240.0,60.36
259.0,85.83
260.0,89.85
279.0,88.05
280.0,101.01
299.0,263.74
300.0,270.89
319.0,13.85
320.0,15.64
339.0,14.75
340.0,19.67
359.0,1.78
360.0,2.67
379.0,1.78
380.0,2.23
399.0,4.46
400.0,0.89
419.0,13.41
420.0,15.2
439.0,13.86
440.0,0.89
459.0,25.49
460.0,28.62
479.0,65.7
480.0,75.53
499.0,21.46
500.0,25.48
519.0,124.7
520.0,133.64
539.0,46.95
540.0,55.0
559.0,0.89
560.0,1.79
579.0,172.09
580.0,181.92
599.0,3.13
600.0,0.89
619.0,0.89
620.0,0.89
639.0,24.15
640.0,32.2
659.0,35.76
660.0,44.7
679.0,4.02
680.0,9.83
699.0,0.89
700.0,4.02
719.0,84.46
720.0,87.59
739.0,2.68
740.0,0.89
759.0,16.54
760.0,19.67
779.0,14.75
780.0,16.54
799.0,0.89
800.0,1.34
819.0,1.34
820.0,1.79
839.0,1.79
840.0,4.92
859.0,8.05
860.0,8.94
879.0,22.35
880.0,25.48
899.0,0.89
900.0,1.78
919.0,4.92
920.0,8.05
939.0,0.89
940.0,2.68
959.0,12.07
960.0,16.09
979.0,38.88
980.0,44.69
999.0,7.15
1000.0,4.02
1019.0,3.13
1020.0,3.13
1039.0,21.02
1040.0,24.15
1059.0,6.26
1060.0,10.28
1079.0,11.18
1080.0,4.02
1099.0,2.68
1100.0,0.89
1119.0,8.04
1120.0,12.06
1139.0,74.65
1140.0,86.72
1159.0,0.89
1160.0,1.78
1179.0,4.45
1180.0,4.9
1199.0,3.56
1200.0,4.45
1219.0,4.92
1220.0,1.79
1239.0,47.84
1240.0,51.86
1259.0,26.38
1260.0,31.3
1279.0,3.58
1280.0,0.89
1299.0,1.78
1300.0,1.79
1319.0,0.89
1320.0,1.78
1339.0,45.6
1340.0,47.39
1359.0,8.04
1360.0,12.06
1379.0,1.78
1380.0,2.67
1399.0,9.83
1400.0,13.85
1419.0,18.33
1420.0,20.12
1439.0,80.48
1440.0,82.27
1459.0,72.44
1460.0,0.89
1479.0,18.78
1480.0,20.57
1499.0,12.52
1500.0,14.31
1519.0,71.52
1520.0,81.35
1539.0,49.62
1540.0,55.43
1559.0,18.78
1560.0,21.91
1579.0,1.79
1580.0,0.89
1599.0,2.23
1600.0,1.79
1619.0,112.63
1620.0,119.78
1639.0,0.89
1640.0,1.78
1659.0,1.79
1660.0,0.89
1679.0,11.62
1680.0,16.54
1699.0,2.68
1700.0,0.89
1719.0,29.04
1720.0,33.96
1739.0,16.1
1740.0,20.12
1759.0,22.79
1760.0,26.81
1779.0,2.67
1780.0,0.89
1799.0,3.13
1800.0,3.13
1819.0,0.89
1820.0,0.89
1839.0,3.13
1840.0,3.13
1859.0,0.89
1860.0,1.79
1879.0,23.25
1880.0,35.32
1899.0,1.79
1900.0,3.58
1919.0,3.13
1920.0,1.79
1939.0,92.51
1940.0,97.43
1959.0,40.67
1960.0,46.48
1979.0,14.3
1980.0,19.22
1999.0,12.96
2000.0,21.01
2019.0,0.45
2020.0,0.9
2039.0,7.15
2040.0,10.28
2059.0,12.52
2060.0,17.44
2079.0,8.94
2080.0,13.86
2099.0,11.18
2100.0,14.31
2119.0,13.42
2120.0,14.31
2139.0,2.23
2140.0,0.89
2159.0,53.63
2160.0,63.46
2179.0,208.29
2180.0,211.42
2199.0,83.58
2200.0,92.52
2219.0,12.07
2220.0,16.99
2239.0,4.92
2240.0,1.79
2259.0,0.89
2260.0,1.78
2279.0,1.79
2280.0,0.89
2299.0,0.45
2300.0,3.13
2319.0,33.97
2320.0,42.91
2339.0,134.55
2340.0,138.57
2359.0,16.54
2360.0,22.35
2379.0,11.62
2380.0,5.81
2399.0,55.87
2400.0,59.89
2419.0,1.79
2420.0,3.58
2439.0,84.49
2440.0,98.35
2459.0,229.33
2460.0,239.16
2479.0,4.47
2480.0,3.13
2499.0,63.03
2500.0,66.16
2519.0,0.89
2520.0,1.34
2539.0,32.62
2540.0,38.43
2559.0,98.34
2560.0,101.47
2579.0,1.79
2580.0,2.68
2599.0,10.29
2600.0,4.92
2619.0,1.79
2620.0,3.58
2639.0,13.86
2640.0,16.99
2659.0,1.79
2660.0,4.92
2679.0,42.92
2680.0,0.89
2699.0,3.13
2700.0,7.15
2719.0,0.45
2720.0,1.79
2739.0,98.36
2740.0,101.49
2759.0,14.76
2760.0,4.02
2779.0,27.28
2780.0,34.43
2799.0,155.57
2800.0,164.51
2819.0,304.0
2820.0,315.18
2839.0,20.12
2840.0,28.17
2859.0,182.39
2860.0,187.31
2879.0,39.35
2880.0,0.89
2899.0,42.9
2900.0,48.71
2919.0,7.15
2920.0,16.09
2939.0,7.15
2940.0,8.94
2959.0,1.79
2960.0,0.89
2979.0,59.45
2980.0,63.47
2999.0,134.1
3000.0,143.04
3019.0,97.87
3020.0,4.92
3039.0,47.83
3040.0,57.66
3059.0,1.79
3060.0,4.92
3079.0,35.77
3080.0,47.84
3099.0,1.79
3100.0,3.58
3119.0,146.16
3120.0,154.21
3139.0,1.79
3140.0,2.68
3159.0,8.05
3160.0,12.97
3179.0,2.68
3180.0,4.47
3199.0,9.39
3200.0,12.52
3219.0,2.68
3220.0,4.47
3239.0,25.92
3240.0,27.71
3259.0,90.3
3260.0,93.43
3279.0,1.79
3280.0,3.13
3299.0,45.59
3300.0,48.72
3319.0,0.89
3320.0,1.79
3339.0,1.79
3340.0,0.89
3359.0,46.93
3360.0,50.06
3379.0,27.72
3380.0,29.51
3399.0,6.26
3400.0,12.07
3419.0,12.97
3420.0,0.89
3439.0,1.79
3440.0,9.84
3459.0,9.84
3460.0,13.86
3479.0,1.79
3480.0,1.79
3499.0,52.31
3500.0,57.23
3519.0,4.92
3520.0,8.05
3539.0,15.2
3540.0,1.79
3559.0,2.67
3560.0,3.56
3579.0,16.98
3580.0,24.13
3599.0,7.15
3600.0,8.94
3619.0,15.19
3620.0,0.89
3639.0,3.13
3640.0,3.13
3659.0,8.5
3660.0,0.89
3679.0,0.89
3680.0,1.78
3699.0,30.4
3700.0,0.89
3719.0,34.41
3720.0,36.2
3739.0,21.0
3740.0,22.79
3759.0,17.88
3760.0,21.9
3779.0,4.92
3780.0,3.13
3799.0,1.79
3800.0,3.58
3819.0,1.78
3820.0,2.67
3839.0,0.89
3840.0,1.79
3859.0,18.33
3860.0,20.12
3879.0,4.92
3880.0,6.71
3899.0,1.78
3900.0,3.57
3919.0,22.8
3920.0,25.93
3939.0,1.79
3940.0,4.92
3959.0,31.74
3960.0,34.87
3979.0,0.89
3980.0,1.79
3999.0,14.76
4000.0,19.68
4019.0,3.58
4020.0,1.79
4039.0,4.92
4040.0,8.05
4059.0,0.89
4060.0,0.89
4079.0,2.67
4080.0,3.56
4099.0,16.54
4100.0,21.46
4119.0,1.79
4120.0,4.02
4139.0,11.62
4140.0,13.41
4159.0,1.78
4160.0,2.67
4179.0,21.02
4180.0,22.81
4199.0,0.89
4200.0,1.79
4219.0,19.22
4220.0,22.35
4239.0,3.13
4240.0,6.26
4259.0,2.68
4260.0,1.79
4279.0,8.05
4280.0,9.84
4299.0,45.6
4300.0,0.45
4319.0,4.02
4320.0,7.15
4339.0,15.65
4340.0,17.44
4359.0,11.17
4360.0,3.13
4379.0,2.68
4380.0,4.47
4399.0,1.78
4400.0,2.67
4419.0,1.79
4420.0,0.89
4439.0,27.28
4440.0,0.89
4459.0,38.01
4460.0,39.8
4479.0,7.15
4480.0,12.96
4499.0,12.52
4500.0,15.65
4519.0,2.23
4520.0,1.79
4539.0,40.23
4540.0,1.79
4559.0,0.89
4560.0,1.79
4579.0,11.18
4580.0,14.31
4599.0,0.89
4600.0,1.79
4619.0,0.89
4620.0,1.79
4639.0,3.13
4640.0,6.26
4659.0,1.79
4660.0,2.68
4679.0,1.78
4680.0,2.67
4699.0,9.39
4700.0,11.18
4719.0,10.73
4720.0,14.75
4739.0,7.16
4740.0,8.95
4759.0,1.79
4760.0,0.89
4779.0,46.94
4780.0,48.73
4799.0,1.79
4800.0,0.45
4819.0,25.92
4820.0,29.05
4839.0,12.07
4840.0,16.09
4859.0,1.79
4860.0,1.79
4879.0,2.67
4880.0,3.12
4899.0,51.42
4900.0,53.21
4919.0,37.55
4920.0,41.57
4939.0,31.74
4940.0,34.87
4959.0,9.84
4960.0,12.97
4979.0,7.15
4980.0,11.17
4999.0,76.91
5000.0,80.04
5019.0,43.81
5020.0,45.6
5039.0,4.02
5040.0,8.94
5059.0,0.89
5060.0,1.78
5079.0,35.75
5080.0,41.56
5099.0,0.89
5100.0,2.68
5119.0,1.78
5120.0,2.67
5139.0,29.07
5140.0,30.86
5159.0,1.78
5160.0,0.89
5179.0,38.89
5180.0,42.91
5199.0,79.58
5200.0,85.39
5219.0,7.15
5220.0,3.13
5239.0,0.89
5240.0,1.79
5259.0,0.45
5260.0,1.34
5279.0,0.89
5280.0,1.79
5299.0,21.02
5300.0,0.89
5319.0,8.05
5320.0,11.18
5339.0,23.71
5340.0,27.73
5359.0,0.45
5360.0,1.79
5379.0,11.63
5380.0,13.42
5399.0,3.13
5400.0,6.26
5419.0,85.83
5420.0,90.75
5439.0,0.89
5440.0,1.79
5459.0,1.78
5460.0,3.57
5479.0,2.67
5480.0,3.13
5499.0,76.01
5500.0,79.14
5519.0,10.28
5520.0,14.3
5539.0,0.89
5540.0,0.89
5559.0,5.37
5560.0,9.39
5579.0,16.99
5580.0,21.91
5599.0,3.13
5600.0,4.92
5619.0,0.89
5620.0,1.78
5639.0,19.68
5640.0,22.81
5659.0,42.47
5660.0,47.39
5679.0,3.58
5680.0,5.37
5699.0,4.02
5700.0,4.02
5719.0,38.0
5720.0,41.13
5739.0,1.79
5740.0,3.58
5759.0,21.46
5760.0,23.25
5779.0,25.48
5780.0,28.61
5799.0,3.13
5800.0,6.26
5819.0,6.71
5820.0,9.84
5839.0,1.78
5840.0,3.13
5859.0,2.68
5860.0,5.81
5879.0,0.89
5880.0,0.89
5899.0,0.89
5900.0,1.34
5919.0,3.13
5920.0,6.26
5939.0,7.12
5940.0,8.91
5959.0,1.79
5960.0,0.89
5979.0,1.78
5980.0,0.89
5999.0,2.67
6000.0,3.12
6019.0,19.23
6020.0,0.89
6039.0,12.07
6040.0,16.99
6059.0,18.77
6060.0,23.69
6079.0,4.92
6080.0,6.71
6099.0,1.78
6100.0,2.67
6119.0,1.79
6120.0,0.89
6139.0,16.98
6140.0,21.0
6159.0,5.37
6160.0,9.39
6179.0,3.58
6180.0,7.6
6199.0,68.85
6200.0,70.64
6219.0,139.49
6220.0,142.62
6239.0,4.47
6240.0,7.6
6259.0,0.89
6260.0,1.78
6279.0,4.92
6280.0,8.05
6299.0,8.95
6300.0,10.74
6319.0,4.02
6320.0,3.13
6339.0,12.97
6340.0,16.1
6359.0,0.89
6360.0,0.89
6379.0,20.56
6380.0,24.58
6399.0,4.92
6400.0,8.94
6419.0,3.58
6420.0,6.71
6439.0,1.79
6440.0,0.89
6459.0,4.92
6460.0,8.05
6479.0,118.94
6480.0,123.86
6499.0,11.18
6500.0,12.07
6519.0,6.26
6520.0,10.28
6539.0,1.79
6540.0,0.89
6559.0,2.68
6560.0,1.79
6579.0,0.89
6580.0,1.79
6599.0,118.02
6600.0,122.04
6619.0,261.96
6620.0,269.11
6639.0,4.92
6640.0,8.05
6659.0,3.58
6660.0,0.89
6679.0,2.68
6680.0,4.47
6699.0,1.78
6700.0,0.89
6719.0,0.89
6720.0,0.89
6739.0,1.78
6740.0,0.89
6759.0,5.37
6760.0,0.89
6779.0,1.79
6780.0,3.58
6799.0,50.51
6800.0,3.13
6819.0,0.89
6820.0,1.34
6839.0,1.78
6840.0,2.67
6859.0,0.89
6860.0,0.89
6879.0,61.68
6880.0,69.73
6899.0,147.51
6900.0,4.92
6919.0,1.79
6920.0,5.81
6939.0,73.29
6940.0,76.42
6959.0,0.45
6960.0,0.89
6979.0,0.89
6980.0,1.79
6999.0,1.79
7000.0,0.89
7019.0,1.79
7020.0,0.89
7039.0,0.89
7040.0,0.89
7059.0,1.34
7060.0,0.89
7079.0,4.92
7080.0,6.71
7099.0,0.89
7100.0,1.78
7119.0,56.33
7120.0,61.25
7139.0,82.7
7140.0,90.75
7159.0,21.47
7160.0,1.79
7179.0,2.23
7180.0,0.89
7199.0,0.89
7200.0,3.13
7219.0,14.3
7220.0,17.43
7239.0,29.51
7240.0,32.64
7259.0,7.15
7260.0,8.94
7279.0,18.79
7280.0,21.92
7299.0,19.23
7300.0,22.36
7319.0,12.06
7320.0,1.79
7339.0,20.56
7340.0,24.58
7359.0,3.13
7360.0,3.13
7379.0,1.79
7380.0,1.79
7399.0,9.39
7400.0,12.52
7419.0,3.58
7420.0,5.37
7439.0,2.68
7440.0,3.57
7459.0,128.74
7460.0,133.66
7479.0,47.39
7480.0,55.44
7499.0,1.79
7500.0,1.79
7519.0,12.51
7520.0,14.3
7539.0,1.79
7540.0,0.89
7559.0,130.93
7560.0,132.72
7579.0,16.99
7580.0,25.93
7599.0,152.01
7600.0,155.14
7619.0,193.17
7620.0,194.96
7639.0,228.97
7640.0,230.76
7659.0,264.77
7660.0,266.56
7679.0,300.57
7680.0,302.36
7699.0,0.89
7700.0,1.78
7719.0,6.71
7720.0,7.6
7739.0,1.78
7740.0,1.79
7759.0,12.07
7760.0,15.2
7779.0,4.92
7780.0,6.71
7799.0,0.89
7800.0,1.79
7819.0,7.6
7820.0,0.89
7839.0,7.6
7840.0,0.89
7859.0,45.15
7860.0,56.33
7879.0,1.79
7880.0,1.79
7899.0,8.49
7900.0,0.89
7919.0,13.86
7920.0,27.72
7939.0,6.26
7940.0,8.05
7959.0,1.79
7960.0,3.58
7979.0,3.58
7980.0,6.71
7999.0,1.78
8000.0,2.67
8019.0,3.56
8020.0,4.01
8039.0,12.07
8040.0,15.2
8059.0,3.13
8060.0,4.02
8079.0,1.79
8080.0,1.79
8099.0,1.79
8100.0,1.79
8119.0,25.48
8120.0,28.61
8139.0,134.97
8140.0,147.93
8159.0,14.75
8160.0,17.88
8179.0,30.84
8180.0,35.76
8199.0,6.26
8200.0,11.18
8219.0,1.79
8220.0,3.58
8239.0,0.89
8240.0,5.81
8259.0,1.79
8260.0,3.58
8279.0,0.89
8280.0,0.89
8299.0,0.45
8300.0,1.34
8319.0,110.85
8320.0,115.77
8339.0,39.33
8340.0,45.14
8359.0,184.16
8360.0,191.31
8379.0,33.98
8380.0,39.79
8399.0,3.13
8400.0,7.15
8419.0,0.89
8420.0,0.89
8439.0,0.89
8440.0,1.78
8459.0,43.36
8460.0,50.51
8479.0,0.89
8480.0,1.78
8499.0,0.89
8500.0,1.78
8519.0,6.23
8520.0,7.12
8539.0,8.94
8540.0,13.86
8559.0,114.45
8560.0,3.13
8579.0,19.21
8580.0,23.23
8599.0,32.63
8600.0,0.89
8619.0,4.02
8620.0,8.94
8639.0,2.67
8640.0,3.13
8659.0,73.76
8660.0,86.72
8679.0,204.28
8680.0,208.3
8699.0,9.83
8700.0,19.66
8719.0,182.39
8720.0,190.44
8739.0,384.91
8740.0,392.96
8759.0,565.49
8760.0,570.41
8779.0,54.99
8780.0,58.12
8799.0,3.57
8800.0,4.46
8819.0,0.89
8820.0,0.89
8839.0,0.89
8840.0,1.79
8859.0,104.15
8860.0,113.09
8879.0,274.9
8880.0,282.95
8899.0,412.58
8900.0,417.5
8919.0,1.79
8920.0,4.92
8939.0,46.05
8940.0,54.99
8959.0,256.13
8960.0,260.15
8979.0,391.12
8980.0,398.27
8999.0,0.89
9000.0,1.78
9019.0,106.85
9020.0,0.89
9039.0,7.15
9040.0,10.28
9059.0,1.78
9060.0,2.67
9079.0,56.77
9080.0,63.92
9099.0,214.57
9100.0,224.4
9119.0,3.13
9120.0,6.26
9139.0,0.89
9140.0,1.78
9159.0,80.9
9160.0,88.95
9179.0,34.42
9180.0,42.47
9199.0,1.79
9200.0,1.79
9219.0,14.75
9220.0,3.13
9239.0,4.02
9240.0,1.79
9259.0,4.92
9260.0,3.13
9279.0,24.14
9280.0,32.19
9299.0,163.18
9300.0,172.12
9319.0,8.05
9320.0,11.18
9339.0,6.71
9340.0,9.84
9359.0,1.79
9360.0,3.58
9379.0,3.57
9380.0,0.89
9399.0,6.26
9400.0,9.39
9419.0,16.99
9420.0,24.14
9439.0,125.18
9440.0,128.31
9459.0,99.69
9460.0,104.61
9479.0,1.79
9480.0,4.92
9499.0,64.36
9500.0,68.38
9519.0,22.35
9520.0,28.16
9539.0,24.58
9540.0,28.6
9559.0,133.21
9560.0,3.13
9579.0,1.79
9580.0,4.92
9599.0,25.03
9600.0,25.92
9619.0,4.92
9620.0,6.71
9639.0,3.58
9640.0,4.02
9659.0,1.79
9660.0,1.79
9679.0,16.99
9680.0,20.12
9699.0,1.79
9700.0,0.89
9719.0,44.25
9720.0,47.38
9739.0,0.89
9740.0,0.89
9759.0,80.47
9760.0,91.65
9779.0,6.26
9780.0,8.05
9799.0,4.47
9800.0,6.26
9819.0,26.37
9820.0,28.16
9839.0,2.68
9840.0,3.57
9859.0,3.58
9860.0,4.47
9879.0,4.92
9880.0,0.89
9899.0,0.89
9900.0,3.13
9919.0,7.6
9920.0,9.39
9939.0,4.92
9940.0,6.71
9959.0,0.89
9960.0,0.89
9979.0,0.89
9980.0,1.78
9999.0,0.89
10000.0,1.79
10019.0,1.79
10020.0,0.89
10039.0,4.47
10040.0,7.6
10059.0,28.16
10060.0,32.18
10079.0,20.12
10080.0,21.91
10099.0,21.91
10100.0,25.93
10119.0,3.56
10120.0,4.45
10139.0,25.03
10140.0,32.18
10159.0,12.97
10160.0,16.99
10179.0,6.26
10180.0,8.05
10199.0,108.63
10200.0,115.78
10219.0,50.51
10220.0,55.43
10239.0,172.09
10240.0,179.24
10259.0,0.89
10260.0,1.79
10279.0,58.11
10280.0,61.24
10299.0,21.46
10300.0,31.29
10319.0,27.72
10320.0,30.85
10339.0,104.16
10340.0,108.18
10359.0,3.13
10360.0,4.92
10379.0,6.71
10380.0,12.52
10399.0,0.89
10400.0,1.78
10419.0,4.92
10420.0,0.89
10439.0,0.89
10440.0,1.78
10459.0,16.54
10460.0,0.89
10479.0,48.72
10480.0,57.66
10499.0,62.14
10500.0,71.97
10519.0,233.8
10520.0,242.74
10539.0,1.79
10540.0,4.02
10559.0,1.78
10560.0,0.89
10579.0,1.79
10580.0,2.68
10599.0,50.07
10600.0,63.03
10619.0,5.37
10620.0,7.16
10639.0,1.79
10640.0,0.89
10659.0,3.13
10660.0,6.26
10679.0,150.64
10680.0,159.58
10699.0,79.13
10700.0,80.92
10719.0,5.81
10720.0,9.83
10739.0,126.5
10740.0,134.55
10759.0,11.17
10760.0,16.98
10779.0,1.79
10780.0,1.79
10799.0,27.72
10800.0,32.64
10819.0,7.6
10820.0,10.73
10839.0,5.37
10840.0,7.16
10859.0,1.79
10860.0,1.79
10879.0,0.89
10880.0,1.78
10899.0,0.89
10900.0,0.89
10919.0,6.26
10920.0,10.28
10939.0,3.13
10940.0,7.15
10959.0,13.42
10960.0,15.21
10979.0,29.05
10980.0,32.18
10999.0,5.35
11000.0,7.14
11019.0,60.78
11020.0,62.57
11039.0,77.34
11040.0,80.47
11059.0,52.3
11060.0,54.09
11079.0,72.86
11080.0,84.04
11099.0,14.3
11100.0,21.45
11119.0,0.89
11120.0,1.79
11139.0,52.31
11140.0,59.46
11159.0,53.18
11160.0,56.31
11179.0,22.8
11180.0,27.72
11199.0,16.09
11200.0,23.24
11219.0,1.79
11220.0,5.81
11239.0,3.58
11240.0,6.71
11259.0,4.92
11260.0,10.73
11279.0,17.88
11280.0,19.67
11299.0,57.22
11300.0,63.03
11319.0,117.1
11320.0,130.06
11339.0,8.05
11340.0,15.2
11359.0,1.79
11360.0,3.58
11379.0,0.89
11380.0,1.78
11399.0,3.58
11400.0,5.37
11419.0,49.17
11420.0,50.96
11439.0,16.1
11440.0,5.81
11459.0,14.75
11460.0,4.92
11479.0,107.73
11480.0,115.78
11499.0,2.67
11500.0,3.56
11519.0,37.55
11520.0,40.68
11539.0,28.16
11540.0,0.89
11559.0,4.02
11560.0,11.17
11579.0,1.79
11580.0,3.58
11599.0,1.79
11600.0,1.79
11619.0,3.58
11620.0,6.71
11639.0,132.31
11640.0,139.46
11659.0,3.13
11660.0,7.15
11679.0,83.15
11680.0,94.33
11699.0,1.79
11700.0,1.79
11719.0,48.73
11720.0,51.86
11739.0,3.12
11740.0,1.79
11759.0,0.89
11760.0,1.78
11779.0,89.85
11780.0,0.89
11799.0,4.02
11800.0,7.15
11819.0,13.4
11820.0,17.42
11839.0,10.73
11840.0,14.75
11859.0,0.89
11860.0,1.78
11879.0,42.47
11880.0,45.6
11899.0,66.6
11900.0,77.78
11919.0,224.84
11920.0,233.78
11939.0,46.04
11940.0,59.9
11959.0,4.02
11960.0,7.15
11979.0,0.89
11980.0,1.78
11999.0,31.3
12000.0,33.09
12019.0,40.67
12020.0,44.69
12039.0,25.04
12040.0,28.17
12059.0,3.13
12060.0,6.26
12079.0,104.59
12080.0,110.4
12099.0,11.18
12100.0,19.23
12119.0,14.31
12120.0,16.1
12139.0,8.05
12140.0,15.2
12159.0,29.95
12160.0,39.78
12179.0,3.13
12180.0,6.26
12199.0,86.27
12200.0,88.06
12219.0,171.66
12220.0,174.79
12239.0,4.92
12240.0,8.05
12259.0,1.79
12260.0,0.45
12279.0,11.17
12280.0,15.19
12299.0,12.97
12300.0,16.1
12319.0,6.26
12320.0,9.39
12339.0,8.5
12340.0,1.79
12359.0,8.04
12360.0,0.89
12379.0,137.24
12380.0,142.16
12399.0,5.81
12400.0,3.13
12419.0,3.58
12420.0,1.79
12439.0,28.16
12440.0,8.94
12459.0,0.89
12460.0,0.45
12479.0,1.79
12480.0,3.58
12499.0,49.17
12500.0,53.19
12519.0,3.13
12520.0,6.26
12539.0,0.89
12540.0,3.13
12559.0,1.78
12560.0,3.13
12579.0,1.79
12580.0,0.89
12599.0,36.66
12600.0,38.45
12619.0,7.15
12620.0,12.96
12639.0,5.81
12640.0,12.96
12659.0,15.2
12660.0,18.33
12679.0,1.79
12680.0,3.58
12699.0,0.89
12700.0,1.78
12719.0,12.07
12720.0,1.79
12739.0,5.81
12740.0,4.02
12759.0,11.18
12760.0,14.31
12779.0,4.46
12780.0,6.25
12799.0,0.45
12800.0,1.34
12819.0,44.26
12820.0,0.89
12839.0,33.96
12840.0,34.85
12859.0,25.93
12860.0,27.72
12879.0,23.69
12880.0,29.5
12899.0,11.18
12900.0,0.89
12919.0,9.84
12920.0,12.97
12939.0,5.81
12940.0,10.73
12959.0,3.13
12960.0,4.92
12979.0,1.79
12980.0,0.89
12999.0,0.89
13000.0,1.79
13019.0,4.02
13020.0,1.79
13039.0,1.79
13040.0,0.89
13059.0,1.78
13060.0,2.23
13079.0,3.13
13080.0,6.26
13099.0,1.79
13100.0,3.58
13119.0,1.79
13120.0,0.89
13139.0,5.81
13140.0,0.89
13159.0,8.94
13160.0,12.96
13179.0,0.89
13180.0,0.89
13199.0,29.05
13200.0,33.07
13219.0,7.16
13220.0,0.89
13239.0,9.84
13240.0,13.86
13259.0,24.14
13260.0,29.95
13279.0,0.89
13280.0,1.78
13299.0,0.89
13300.0,0.89
13319.0,23.24
13320.0,0.89
13339.0,20.12
13340.0,21.01
13359.0,12.96
13360.0,16.98
13379.0,16.1
13380.0,1.79
13399.0,31.3
13400.0,33.09
13419.0,1.78
13420.0,0.89
13439.0,16.99
13440.0,18.78
13459.0,25.93
13460.0,27.72
13479.0,9.39
13480.0,12.52
13499.0,0.89
13500.0,2.68
13519.0,14.76
13520.0,16.55
13539.0,1.79
13540.0,0.89
13559.0,1.78
13560.0,2.67
13579.0,21.46
13580.0,0.89
13599.0,8.04
13600.0,13.85
13619.0,63.04
13620.0,64.83
13639.0,2.67
13640.0,1.79
13659.0,21.02
13660.0,22.81
13679.0,4.92
13680.0,0.89
13699.0,3.58
13700.0,4.47
13719.0,4.92
13720.0,8.94
13739.0,3.58
13740.0,6.71
13759.0,53.19
13760.0,54.98
13779.0,1.79
13780.0,0.89
13799.0,30.4
13800.0,1.79
13819.0,10.73
13820.0,13.86
13839.0,6.26
13840.0,1.79
13859.0,3.58
13860.0,5.37
13879.0,3.58
13880.0,0.89
13899.0,72.86
13900.0,0.89
13919.0,46.94
13920.0,50.07
13939.0,23.69
13940.0,25.48
13959.0,17.44
13960.0,21.46
13979.0,16.09
13980.0,20.11
13999.0,0.89
14000.0,1.79
14019.0,1.79
14020.0,0.89
14039.0,18.34
14040.0,20.13
14059.0,17.88
14060.0,0.89
14079.0,4.92
14080.0,6.71
14099.0,1.78
14100.0,1.79
14119.0,0.89
14120.0,0.89
14139.0,9.84
14140.0,11.63
14159.0,56.8
14160.0,58.59
14179.0,3.13
14180.0,6.26
14199.0,0.89
14200.0,1.79
14219.0,30.39
14220.0,4.02
14239.0,0.89
14240.0,1.78
14259.0,0.89
14260.0,0.89
14279.0,40.24
14280.0,43.37
14299.0,30.39
14300.0,34.41
14319.0,9.84
14320.0,13.86
14339.0,1.79
14340.0,1.79
14359.0,1.79
14360.0,0.89
14379.0,2.67
14380.0,0.89
14399.0,6.71
14400.0,8.5
14419.0,21.91
14420.0,1.79
14439.0,6.71
14440.0,10.73
14459.0,13.85
14460.0,16.98
14479.0,1.79
14480.0,3.58
14499.0,1.34
14500.0,1.79
14519.0,2.67
14520.0,0.89
14539.0,19.68
14540.0,21.47
14559.0,1.79
14560.0,4.92
14579.0,1.79
14580.0,2.68
14599.0,17.88
14600.0,21.01
14619.0,0.89
14620.0,1.78
14639.0,22.35
14640.0,0.89
14659.0,39.78
14660.0,42.91
14679.0,1.79
14680.0,3.58
14699.0,5.37
14700.0,10.29
14719.0,0.89
14720.0,1.79
14739.0,47.85
14740.0,49.64
14759.0,1.79
14760.0,2.68
14779.0,0.89
14780.0,0.89
14799.0,4.92
14800.0,1.79
14819.0,31.74
14820.0,34.87
14839.0,1.79
14840.0,3.58
14859.0,0.89
14860.0,1.78
14879.0,32.2
14880.0,33.99
14899.0,31.31
14900.0,33.1
14919.0,15.2
14920.0,1.79
14939.0,1.79
14940.0,1.79
14959.0,2.67
14960.0,4.02
14979.0,3.13
14980.0,3.13
14999.0,3.13
15000.0,4.92
15019.0,12.07
15020.0,16.09
15039.0,1.79
15040.0,3.13
15059.0,28.61
15060.0,30.4
